Company,Ticker,Date,Call
Lululemon Athletica ,LULU,22/9/2020,Buy
Splunk ,SPLK,7/6/2019,Buy
Clorox ,CLX,30/10/2020,Positive Mention
Big 5 ,BGFV,20/7/2021,Buy
Intuit ,INTU,11/10/2018,Buy
Lithium Americas ,LAC,19/5/2021,Sell
Pfizer ,PFE,9/11/2016,Buy
Boeing ,BA,23/11/2020,Buy
Tyson Foods ,TSN,25/10/2019,Buy
Tellurian ,TELL,14/10/2021,Buy
Gilead Sciences ,GILD,8/11/2016,Positive Mention
RH ,RH,13/3/2018,Buy
Angi ,ANGI,7/11/2018,Buy
Hyliion ,HYLN,22/12/2020,Buy
Roku ,ROKU,8/10/2019,Negative Mention
Aphria ,APHA,29/7/2020,Buy
Lowe's ,LOW,15/5/2020,Buy
iQIYI ,IQ,12/9/2018,Sell
American Express ,AXP,9/3/2020,Sell
Tesla ,TSLA,13/1/2020,Buy
Coinbase Global ,COIN,5/11/2021,Positive Mention
HEXO ,HEXO,1/8/2019,Negative Mention
Electronic Arts ,EA,16/11/2018,Negative Mention
Constellation Brands ,STZ,9/1/2019,Buy
Wynn Resorts ,WYNN,16/11/2018,Negative Mention
Tellurian ,TELL,27/9/2021,Buy
Aimmune Therapeutics ,AIMT,14/1/2019,Buy
AbCellera Biologics ,ABCL,12/11/2021,Sell
Ollie's Bargain Outlet ,OLLI,13/2/2020,Buy
Autodesk ,ADSK,11/10/2018,Buy
Apple ,AAPL,30/7/2019,Buy
Owens & Minor ,OMI,24/3/2020,Buy
Beyond Meat ,BYND,1/3/2021,Buy
Cleveland-Cliffs ,CLF,2/11/2016,Negative Mention
Take-Two Interactive ,TTWO,11/10/2018,Buy
Iron Mountain ,IRM,9/3/2020,Buy
Snowflake ,SNOW,15/3/2022,Positive Mention
VMware ,VMW,19/3/2020,Buy
Salesforce ,CRM,18/5/2017,Buy
Pioneer Natural Resources ,PXD,23/11/2020,Buy
Medallia ,MDLA,22/7/2020,Positive Mention
Anheuser-Busch InBev ,BUD,9/3/2020,Sell
KE 0ings ,BEKE,17/8/2020,Sell
CBRL Group ,CBRL,7/4/2020,Buy
Social Capital Hedosophia ,IPOE,24/5/2021,Buy
Tesla ,TSLA,16/4/2020,Buy
Bunge ,BG,4/6/2020,Buy
Beyond Meat ,BYND,25/5/2021,Buy
ZAGG ,ZAGG,26/10/2017,Buy
Whole Foods Markets ,WFM,20/4/2016,Buy
Vertex Pharmaceuticals ,VRTX,30/1/2020,Buy
Kosmos Energy ,KOS,31/3/2022,Buy
The Original BARK ,BARK,28/6/2021,Positive Mention
Levi Strauss ,LEVI,13/4/2020,Buy
Wells Fargo ,WFC,2/6/2020,Buy
Orange ,ORAN,16/3/2020,Sell
Qualcomm ,QCOM,6/6/2018,Buy
Newell Brands ,NWL,20/7/2020,Buy
Bed Bath & Beyond ,BBBY,2/7/2020,Negative Mention
Skyworks Solutions ,SWKS,15/6/2020,Buy
Advanced Micro Devices ,AMD,10/12/2018,Buy
Five Below ,FIVE,1/6/2018,Buy
Norwegian Cruise Line ,NCLH,3/3/2021,Buy
Universal Display ,OLED,12/6/2017,Buy
Albertsons ,ACI,21/9/2020,Buy
Westlake Chemical ,WLK,18/6/2020,Buy
GlaxoSmithKline ,GSK,22/6/2021,Positive Mention
Tesla ,TSLA,15/5/2020,Buy
Zoom Video Communications ,ZM,18/3/2020,Buy
Dutch Bros ,BROS,14/10/2021,Negative Mention
Logitech International ,LOGI,21/7/2020,Buy
The Container Store ,TCS,19/11/2020,Buy
Coca-Cola ,KO,3/4/2020,Negative Mention
Paysafe ,PSFE,23/4/2021,Buy
HEXO ,HEXO,4/6/2019,Sell
Tesla ,TSLA,23/11/2020,Buy
Tesla ,TSLA,31/1/2020,Buy
Peloton ,PTON,11/5/2020,Buy
Kemet ,KEM,13/12/2017,Positive Mention
Kimberly-Clark ,KMB,18/4/2019,Positive Mention
Roku ,ROKU,15/4/2020,Buy
Tellurian ,TELL,14/9/2021,Buy
Moderna ,MRNA,12/8/2021,Buy
Marvell Technology ,MRVL,16/5/2022,Buy
Applied Materials ,AMAT,17/7/2018,Buy
Cisco Systems ,CSCO,13/5/2020,Buy
VMware ,VMW,28/2/2019,Buy
MGM Resorts ,MGM,13/4/2020,Sell
FedEx ,FDX,11/9/2020,Buy
Alto Ingredients ,ALTO,31/3/2022,Buy
Verizon ,VZ,12/3/2020,Buy
Canadian Solar ,CSIQ,22/10/2020,Positive Mention
